"instant","dteday","season","yr","mnth","holiday","weekday","temp","atemp","hum","windspeed","casual","registered","cnt","workday","weather","days_since_2011","cnt_2d_bfr"
204,"2011-07-23","SUMMER","2011","JUL","N","SAT",31.910849,43.345758,50,8.791807,987,2298,3285,"N","GOOD",203,3784
205,"2011-07-24","SUMMER","2011","JUL","N","SUN",31.01,43.024186,55.0833,11.334457,1050,2556,3606,"N","GOOD",204,3387
206,"2011-07-25","SUMMER","2011","JUL","N","MON",26.936651,40.512572,75.7083,6.0841561,568,3272,3840,"Y","GOOD",205,3285
207,"2011-07-26","SUMMER","2011","JUL","N","TUE",28.268349,39.697286,54.0833,13.417286,750,3840,4590,"Y","GOOD",206,3606
208,"2011-07-27","SUMMER","2011","JUL","N","WED",28.425,39.482678,40.2917,12.292021,755,3901,4656,"Y","GOOD",207,3840
209,"2011-07-28","SUMMER","2011","JUL","N","THU",28.620849,41.1566,58.3333,11.958093,606,3784,4390,"Y","GOOD",208,4590
210,"2011-07-29","SUMMER","2011","JUL","N","FRI",31.401651,42.722878,54.25,11.667246,670,3176,3846,"Y","GOOD",209,4656
211,"2011-07-30","SUMMER","2011","JUL","N","SAT",29.795849,40.770258,46.5833,11.291979,1559,2916,4475,"N","GOOD",210,4390
212,"2011-07-31","SUMMER","2011","JUL","N","SUN",29.874151,40.813064,48.0833,11.042471,1524,2778,4302,"N","GOOD",211,3846
213,"2011-08-01","SUMMER","2011","AUG","N","MON",28.268349,39.911928,55.0833,10.500039,729,3537,4266,"Y","GOOD",212,4475
214,"2011-08-02","SUMMER","2011","AUG","N","TUE",28.816651,40.040414,49.125,13.79195,801,4044,4845,"Y","GOOD",213,4302
215,"2011-08-03","SUMMER","2011","AUG","N","WED",26.388349,39.117858,65.75,9.084061,467,3107,3574,"Y","MISTY",214,4266
216,"2011-08-04","SUMMER","2011","AUG","N","THU",25.37,38.602792,75.75,13.20905,799,3777,4576,"Y","MISTY",215,4845
217,"2011-08-05","SUMMER","2011","AUG","N","FRI",25.409151,38.323278,63.0833,12.374632,1023,3843,4866,"Y","GOOD",216,3574
218,"2011-08-06","SUMMER","2011","AUG","N","SAT",25.683349,38.989236,75.5,15.29275,1521,2773,4294,"N","MISTY",217,4576
219,"2011-08-07","SUMMER","2011","AUG","N","SUN",26.8975,40.319928,75.2917,13.499629,1298,2487,3785,"N","GOOD",218,4866
220,"2011-08-08","SUMMER","2011","AUG","N","MON",27.955,39.911622,59.2083,12.875725,846,3480,4326,"Y","GOOD",219,4294
221,"2011-08-09","SUMMER","2011","AUG","N","TUE",28.425,40.620114,57.0417,10.125107,907,3695,4602,"Y","GOOD",220,3785
222,"2011-08-10","SUMMER","2011","AUG","N","WED",28.033349,39.289422,42.4167,13.417286,884,3896,4780,"Y","GOOD",221,4326
223,"2011-08-11","SUMMER","2011","AUG","N","THU",25.7225,38.151714,42.375,11.041332,812,3980,4792,"Y","GOOD",222,4602
224,"2011-08-12","SUMMER","2011","AUG","N","FRI",25.291651,38.237428,41.5,8.416607,1051,3854,4905,"Y","GOOD",223,4780
225,"2011-08-13","SUMMER","2011","AUG","N","SAT",24.234151,37.959172,72.9583,14.167418,1504,2646,4150,"N","MISTY",224,4792
226,"2011-08-14","SUMMER","2011","AUG","N","SUN",23.803349,37.229192,81.75,14.916411,1338,2482,3820,"N","MISTY",225,4905
227,"2011-08-15","SUMMER","2011","AUG","N","MON",23.294151,36.949678,71.2083,13.999918,775,3563,4338,"Y","GOOD",226,4150
228,"2011-08-16","SUMMER","2011","AUG","N","TUE",24.939151,37.958458,57.8333,15.834043,721,4004,4725,"Y","GOOD",227,3820
229,"2011-08-17","SUMMER","2011","AUG","N","WED",25.996651,38.666814,57.5417,9.625689,668,4026,4694,"Y","GOOD",228,4338
230,"2011-08-18","SUMMER","2011","AUG","N","THU",25.448349,38.516772,65.4583,15.624936,639,3166,3805,"Y","GOOD",229,4725
231,"2011-08-19","SUMMER","2011","AUG","N","FRI",24.195,37.529514,72.2917,9.333636,797,3356,4153,"Y","MISTY",230,4694
232,"2011-08-20","SUMMER","2011","AUG","N","SAT",24.7825,38.065864,67.4167,6.999289,1914,3277,5191,"N","GOOD",231,3805
233,"2011-08-21","SUMMER","2011","AUG","N","SUN",25.409151,38.96785,77,16.666518,1249,2624,3873,"N","GOOD",232,4153
234,"2011-08-22","SUMMER","2011","AUG","N","MON",24.508349,37.700636,47,18.54225,833,3925,4758,"Y","GOOD",233,5191
235,"2011-08-23","SUMMER","2011","AUG","N","TUE",22.119151,36.606278,45.5417,9.833121,1281,4614,5895,"Y","GOOD",234,3873
236,"2011-08-24","SUMMER","2011","AUG","N","WED",23.646651,37.443528,60.5,16.958236,949,4181,5130,"Y","GOOD",235,4758
237,"2011-08-25","SUMMER","2011","AUG","N","THU",24.155849,37.959036,77.1667,14.125811,435,3107,3542,"Y","MISTY",236,5895
238,"2011-08-26","SUMMER","2011","AUG","N","FRI",24.9,38.430922,76.125,5.6254875,768,3893,4661,"Y","GOOD",237,5130
239,"2011-08-27","SUMMER","2011","AUG","N","SAT",23.96,37.608904,85,25.166339,226,889,1115,"N","MISTY",238,3542
240,"2011-08-28","SUMMER","2011","AUG","N","SUN",25.231773,38.030606,56.1765,20.412153,1415,2919,4334,"N","GOOD",239,4661
241,"2011-08-29","SUMMER","2011","AUG","N","MON",21.923349,36.670572,55.4583,10.708275,729,3905,4634,"Y","GOOD",240,1115
242,"2011-08-30","SUMMER","2011","AUG","N","TUE",22.040849,36.219936,54.8333,8.375536,775,4429,5204,"Y","GOOD",241,4334
243,"2011-08-31","SUMMER","2011","AUG","N","WED",22.863349,36.778114,59.7917,5.5833311,688,4370,5058,"Y","GOOD",242,4634
244,"2011-09-01","SUMMER","2011","SEP","N","THU",22.785,36.907314,63.9167,9.500332,783,4332,5115,"Y","GOOD",243,5204
245,"2011-09-02","SUMMER","2011","SEP","N","FRI",22.236651,36.563472,72.7083,9.375243,875,3852,4727,"Y","MISTY",244,5058
246,"2011-09-03","SUMMER","2011","SEP","N","SAT",23.450849,37.529242,71.6667,12.416775,1935,2549,4484,"N","GOOD",245,5115
247,"2011-09-04","SUMMER","2011","SEP","N","SUN",25.330849,38.624586,74.2083,13.833289,2521,2419,4940,"N","GOOD",246,4727
248,"2011-09-05","SUMMER","2011","SEP","Y","MON",23.646651,37.271964,79.0417,14.250632,1236,2115,3351,"N","MISTY",247,4484
249,"2011-09-06","SUMMER","2011","SEP","N","TUE",17.38,33.5168,88.6957,23.044181,204,2506,2710,"Y","BAD",248,4940
250,"2011-09-07","SUMMER","2011","SEP","N","WED",20.160849,34.503786,91.7083,6.5003936,118,1878,1996,"Y","BAD",249,3351
251,"2011-09-08","SUMMER","2011","SEP","N","THU",21.793911,34.882274,93.9565,12.914116,153,1689,1842,"Y","BAD",250,2710
252,"2011-09-09","SUMMER","2011","SEP","N","FRI",22.55,35.684164,89.7917,8.333393,417,3127,3544,"Y","MISTY",251,1996
253,"2011-09-10","SUMMER","2011","SEP","N","SAT",23.02,36.670708,75.375,10.291736,1750,3595,5345,"N","GOOD",252,1842
254,"2011-09-11","SUMMER","2011","SEP","N","SUN",22.706651,36.713786,71.375,7.708618,1633,3413,5046,"N","GOOD",253,3544
255,"2011-09-12","SUMMER","2011","SEP","N","MON",22.284356,36.47242,69.2174,5.957171,690,4023,4713,"Y","GOOD",254,5345
256,"2011-09-13","SUMMER","2011","SEP","N","TUE",22.589151,36.520836,71.25,9.500868,701,4062,4763,"Y","GOOD",255,5046
257,"2011-09-14","SUMMER","2011","SEP","N","WED",23.646651,37.3146,69.7083,11.2091,647,4138,4785,"Y","GOOD",256,4713
258,"2011-09-15","SUMMER","2011","SEP","N","THU",19.1425,34.824814,70.9167,18.166782,428,3231,3659,"Y","MISTY",257,4763
259,"2011-09-16","SUMMER","2011","SEP","N","FRI",14.050849,31.69015,59.0417,11.000261,742,4018,4760,"Y","MISTY",258,4785
260,"2011-09-17","SUMMER","2011","SEP","N","SAT",15.108349,32.269408,71.8333,12.708225,1434,3077,4511,"N","MISTY",259,3659
261,"2011-09-18","SUMMER","2011","SEP","N","SUN",15.8525,32.678258,69.5,11.958361,1353,2921,4274,"N","GOOD",260,4760
262,"2011-09-19","SUMMER","2011","SEP","N","MON",17.810849,34.00895,69,10.166714,691,3848,4539,"Y","MISTY",261,4511
263,"2011-09-20","SUMMER","2011","SEP","N","TUE",18.398349,34.095378,88.125,9.041918,438,3203,3641,"Y","MISTY",262,4274
264,"2011-09-21","SUMMER","2011","SEP","N","WED",19.965,34.718122,90,6.4590814,539,3813,4352,"Y","MISTY",263,4539
265,"2011-09-22","SUMMER","2011","SEP","N","THU",21.531651,34.868742,90.2083,8.584375,555,4240,4795,"Y","MISTY",264,3641
266,"2011-09-23","FALL","2011","SEP","N","FRI",20.630849,33.75225,97.25,5.2505689,258,2137,2395,"Y","MISTY",265,4352
267,"2011-09-24","FALL","2011","SEP","N","SAT",20.513349,35.190008,86.25,5.2516811,1776,3647,5423,"N","MISTY",266,4795
268,"2011-09-25","FALL","2011","SEP","N","SUN",21.805849,35.469658,84.5,3.3754064,1544,3466,5010,"N","MISTY",267,2395
269,"2011-09-26","FALL","2011","SEP","N","MON",22.510849,36.027428,84.8333,7.4169,684,3946,4630,"Y","MISTY",268,5423
270,"2011-09-27","FALL","2011","SEP","N","TUE",21.923349,35.53385,88.5417,7.917457,477,3643,4120,"Y","MISTY",269,5010
271,"2011-09-28","FALL","2011","SEP","N","WED",21.845,35.555372,84.875,9.958143,480,3427,3907,"Y","MISTY",270,4630
272,"2011-09-29","FALL","2011","SEP","N","THU",20.983349,35.533408,69.9167,11.583161,653,4186,4839,"Y","GOOD",271,4120
273,"2011-09-30","FALL","2011","SEP","N","FRI",18.515849,34.524186,64.75,13.833825,830,4372,5202,"Y","GOOD",272,3907
274,"2011-10-01","FALL","2011","OCT","N","SAT",11.27,30.037342,75.375,19.583832,480,1949,2429,"N","MISTY",273,4839
275,"2011-10-02","FALL","2011","OCT","N","SUN",8.763349,27.740778,79.1667,14.874871,616,2302,2918,"N","MISTY",274,5202
276,"2011-10-03","FALL","2011","OCT","N","MON",10.055849,29.329564,76.0833,5.5841686,330,3240,3570,"Y","MISTY",275,2429
277,"2011-10-04","FALL","2011","OCT","N","TUE",14.755849,32.077172,71,13.792218,486,3970,4456,"Y","GOOD",276,2918
278,"2011-10-05","FALL","2011","OCT","N","WED",17.301651,33.922692,64.7917,11.87575,559,4267,4826,"Y","GOOD",277,3570
279,"2011-10-06","FALL","2011","OCT","N","THU",15.225849,32.33445,62.0833,9.041918,639,4126,4765,"Y","GOOD",278,4456
280,"2011-10-07","FALL","2011","OCT","N","FRI",16.009151,33.149736,68.4167,1.5002439,949,4036,4985,"Y","GOOD",279,4826
281,"2011-10-08","FALL","2011","OCT","N","SAT",16.518349,33.450228,70.125,3.0420814,2235,3174,5409,"N","GOOD",280,4765
282,"2011-10-09","FALL","2011","OCT","N","SUN",17.419151,33.815422,72.75,4.25115,2397,3114,5511,"N","GOOD",281,4985
283,"2011-10-10","FALL","2011","OCT","Y","MON",18.829151,34.45945,73.375,2.8343814,1514,3603,5117,"N","GOOD",282,5409
284,"2011-10-11","FALL","2011","OCT","N","TUE",18.633349,34.567264,80.875,9.583814,667,3896,4563,"Y","MISTY",283,5511
285,"2011-10-12","FALL","2011","OCT","N","WED",17.536651,33.602378,90.625,16.62605,217,2199,2416,"Y","BAD",284,5117
286,"2011-10-13","FALL","2011","OCT","N","THU",19.690849,34.761336,89.6667,9.499729,290,2623,2913,"Y","MISTY",285,4563
287,"2011-10-14","FALL","2011","OCT","N","FRI",17.889151,34.00895,71.625,15.000161,529,3115,3644,"Y","MISTY",286,2416
288,"2011-10-15","FALL","2011","OCT","N","SAT",15.813349,32.95665,48.3333,17.291561,1899,3318,5217,"N","GOOD",287,2913
289,"2011-10-16","FALL","2011","OCT","N","SUN",16.048349,33.107236,48.6667,18.875039,1748,3293,5041,"N","GOOD",288,3644
290,"2011-10-17","FALL","2011","OCT","N","MON",17.105849,33.36465,57.9583,11.750393,713,3857,4570,"Y","GOOD",289,5217
291,"2011-10-18","FALL","2011","OCT","N","TUE",17.0275,33.772514,70.1667,7.375829,637,4111,4748,"Y","MISTY",290,5041
292,"2011-10-19","FALL","2011","OCT","N","WED",17.461733,33.470832,89.5217,16.303713,254,2170,2424,"Y","BAD",291,4570
293,"2011-10-20","FALL","2011","OCT","N","THU",14.364151,31.86185,63.625,28.292425,471,3724,4195,"Y","GOOD",292,4748
294,"2011-10-21","FALL","2011","OCT","N","FRI",12.0925,30.402264,57.4167,14.833532,676,3628,4304,"Y","GOOD",293,2424
295,"2011-10-22","FALL","2011","OCT","N","SAT",11.8575,30.466728,62.9167,6.2086689,1499,2809,4308,"N","GOOD",294,4195
296,"2011-10-23","FALL","2011","OCT","N","SUN",11.818349,30.359322,74.125,6.6673375,1619,2762,4381,"N","GOOD",295,4304
297,"2011-10-24","FALL","2011","OCT","N","MON",13.776651,31.540278,77.2083,7.959064,699,3488,4187,"Y","GOOD",296,4308
298,"2011-10-25","FALL","2011","OCT","N","TUE",14.168349,31.75475,62.2917,11.166086,695,3992,4687,"Y","GOOD",297,4381
299,"2011-10-26","FALL","2011","OCT","N","WED",14.755849,32.076764,72.0417,9.959014,404,3490,3894,"Y","MISTY",298,4187
300,"2011-10-27","FALL","2011","OCT","N","THU",14.09,31.539564,81.2917,13.250121,240,2419,2659,"Y","MISTY",299,4687
301,"2011-10-28","FALL","2011","OCT","N","FRI",7.549151,26.839608,58.5833,15.375093,456,3291,3747,"Y","MISTY",300,3894
302,"2011-10-29","FALL","2011","OCT","N","SAT",3.945849,23.749042,88.25,23.541857,57,570,627,"N","BAD",301,2659
303,"2011-10-30","FALL","2011","OCT","N","SUN",7.000849,26.925186,62.375,11.833339,885,2446,3331,"N","GOOD",302,3747
304,"2011-10-31","FALL","2011","OCT","N","MON",7.98,28.106142,70.3333,7.12545,362,3307,3669,"Y","GOOD",303,627
305,"2011-11-01","FALL","2011","NOV","N","TUE",10.839151,29.500992,68.375,9.083257,410,3658,4068,"Y","GOOD",304,3331
306,"2011-11-02","FALL","2011","NOV","N","WED",9.7425,29.264522,71.875,5.5001439,370,3816,4186,"Y","GOOD",305,3669
307,"2011-11-03","FALL","2011","NOV","N","THU",11.191651,29.801314,70.2083,9.166739,318,3656,3974,"Y","GOOD",306,4068
308,"2011-11-04","FALL","2011","NOV","N","FRI",10.956651,29.715328,62.25,18.209193,470,3576,4046,"Y","MISTY",307,4186
309,"2011-11-05","FALL","2011","NOV","N","SAT",7.353349,27.011036,51.9167,12.667154,1156,2770,3926,"N","GOOD",308,3974
310,"2011-11-06","FALL","2011","NOV","N","SUN",8.371651,28.320172,73.4583,6.1676314,952,2697,3649,"N","GOOD",309,4046
311,"2011-11-07","FALL","2011","NOV","N","MON",10.565,29.629614,75.875,3.834075,373,3662,4035,"Y","GOOD",310,3926
312,"2011-11-08","FALL","2011","NOV","N","TUE",11.191651,30.016364,72.1667,4.6255125,376,3829,4205,"Y","GOOD",311,3649
313,"2011-11-09","FALL","2011","NOV","N","WED",10.8,29.908686,75.8333,4.1671186,305,3804,4109,"Y","GOOD",312,4035
314,"2011-11-10","FALL","2011","NOV","N","THU",9.86,28.706514,81.3333,12.667489,190,2743,2933,"Y","MISTY",313,4205
315,"2011-11-11","FALL","2011","NOV","Y","FRI",7.235849,26.431778,44.625,21.083225,440,2928,3368,"N","GOOD",314,4109
316,"2011-11-12","FALL","2011","NOV","N","SAT",8.763349,28.170028,55.2917,14.208154,1275,2792,4067,"N","GOOD",315,2933
317,"2011-11-13","FALL","2011","NOV","N","SUN",12.719151,30.6387,45.8333,18.875307,1004,2713,3717,"N","GOOD",316,3368
318,"2011-11-14","FALL","2011","NOV","N","MON",16.91,33.836808,58.7083,20.541932,595,3891,4486,"Y","GOOD",317,4067
319,"2011-11-15","FALL","2011","NOV","N","TUE",16.91,33.257686,68.875,13.375411,449,3746,4195,"Y","MISTY",318,3717
320,"2011-11-16","FALL","2011","NOV","N","WED",13.463349,31.367592,93,9.167543,145,1672,1817,"Y","BAD",319,4486
321,"2011-11-17","FALL","2011","NOV","N","THU",8.058349,26.989514,57.5833,20.459254,139,2914,3053,"Y","MISTY",320,4195
322,"2011-11-18","FALL","2011","NOV","N","FRI",4.885849,25.272514,41,11.291711,245,3147,3392,"Y","GOOD",321,1817
323,"2011-11-19","FALL","2011","NOV","N","SAT",7.470849,27.032422,50.2083,15.041232,943,2720,3663,"N","GOOD",322,3053
324,"2011-11-20","FALL","2011","NOV","N","SUN",13.776651,31.539972,68.4583,12.45865,787,2733,3520,"N","MISTY",323,3392
325,"2011-11-21","FALL","2011","NOV","N","MON",13.0325,31.132108,91,9.249618,220,2545,2765,"Y","BAD",324,3663
326,"2011-11-22","FALL","2011","NOV","N","TUE",11.583349,30.337664,96.25,7.959064,69,1538,1607,"Y","BAD",325,3520
327,"2011-11-23","FALL","2011","NOV","N","WED",12.719151,30.638258,75.7917,22.500275,112,2454,2566,"Y","MISTY",326,2765
328,"2011-11-24","FALL","2011","NOV","Y","THU",9.546651,28.664014,54.9167,11.209368,560,935,1495,"N","GOOD",327,1607
329,"2011-11-25","FALL","2011","NOV","N","FRI",9.625,28.942814,64.375,6.6260186,1095,1697,2792,"Y","GOOD",328,2566
330,"2011-11-26","FALL","2011","NOV","N","SAT",9.664151,29.092958,68.1667,4.5841936,1249,1819,3068,"N","GOOD",329,1495
331,"2011-11-27","FALL","2011","NOV","N","SUN",13.580849,31.4972,69.8333,13.999918,810,2261,3071,"N","GOOD",330,2792
332,"2011-11-28","FALL","2011","NOV","N","MON",15.663466,32.664148,74.3043,9.522174,253,3614,3867,"Y","GOOD",331,3068
333,"2011-11-29","FALL","2011","NOV","N","TUE",13.541651,31.34675,83.0833,17.292164,96,2818,2914,"Y","MISTY",332,3071
334,"2011-11-30","FALL","2011","NOV","N","WED",7.275,26.581514,61.3333,18.167586,188,3425,3613,"Y","GOOD",333,3867
335,"2011-12-01","FALL","2011","DEC","N","THU",6.6875,26.388836,52.4583,14.750586,182,3545,3727,"Y","GOOD",334,2914
336,"2011-12-02","FALL","2011","DEC","N","FRI",6.765849,27.268722,62.5833,6.750518,268,3672,3940,"Y","GOOD",335,3613
337,"2011-12-03","FALL","2011","DEC","N","SAT",6.060849,26.560536,61.2917,6.4174811,706,2908,3614,"N","GOOD",336,3727
338,"2011-12-04","FALL","2011","DEC","N","SUN",7.549151,27.8694,77.5833,5.6252061,634,2851,3485,"N","GOOD",337,3940
339,"2011-12-05","FALL","2011","DEC","N","MON",10.134151,29.39345,82.7083,4.1679561,233,3578,3811,"Y","MISTY",338,3614
340,"2011-12-06","FALL","2011","DEC","N","TUE",13.7375,31.5176,94.9583,15.583061,126,2468,2594,"Y","BAD",339,3485
341,"2011-12-07","FALL","2011","DEC","N","WED",11.27,29.608364,97.0417,17.833725,50,655,705,"Y","BAD",340,3811
342,"2011-12-08","FALL","2011","DEC","N","THU",4.494151,24.735892,58,16.083886,150,3172,3322,"Y","GOOD",341,2594
343,"2011-12-09","FALL","2011","DEC","N","FRI",5.669151,26.796428,69.5833,5.5420189,261,3359,3620,"Y","GOOD",342,705
344,"2011-12-10","FALL","2011","DEC","N","SAT",4.925,25.058008,50.75,15.625807,502,2688,3190,"N","GOOD",343,3322
345,"2011-12-11","FALL","2011","DEC","N","SUN",2.379151,24.607236,49,4.4582939,377,2366,2743,"N","GOOD",344,3620
346,"2011-12-12","FALL","2011","DEC","N","MON",3.201651,25.186664,67.0833,4.25115,143,3167,3310,"Y","GOOD",345,3190
347,"2011-12-13","FALL","2011","DEC","N","TUE",5.2775,26.238692,59,9.41685,155,3368,3523,"Y","GOOD",346,2743
348,"2011-12-14","FALL","2011","DEC","N","WED",6.9225,27.504308,66.375,4.0842061,178,3562,3740,"Y","MISTY",347,3310
349,"2011-12-15","FALL","2011","DEC","N","THU",11.8575,30.016058,63.4167,17.958814,181,3528,3709,"Y","MISTY",348,3523
350,"2011-12-16","FALL","2011","DEC","N","FRI",9.625,28.23405,50.0417,17.458525,178,3399,3577,"Y","MISTY",349,3740
351,"2011-12-17","FALL","2011","DEC","N","SAT",4.141651,24.478614,56.0833,16.292189,275,2464,2739,"N","MISTY",350,3709
352,"2011-12-18","FALL","2011","DEC","N","SUN",3.201651,24.349686,58.625,11.375193,220,2211,2431,"N","GOOD",351,3577
353,"2011-12-19","FALL","2011","DEC","N","MON",5.003349,25.551722,63.75,11.584032,260,3143,3403,"Y","GOOD",352,2739
354,"2011-12-20","FALL","2011","DEC","N","TUE",10.134151,29.479436,59.5417,4.1252436,216,3534,3750,"Y","MISTY",353,2431
355,"2011-12-21","WINTER","2011","DEC","N","WED",12.131651,30.552578,85.8333,14.8338,107,2553,2660,"Y","MISTY",354,3403
356,"2011-12-22","WINTER","2011","DEC","N","THU",11.896651,30.488114,75.75,3.167425,227,2841,3068,"Y","MISTY",355,3750
357,"2011-12-23","WINTER","2011","DEC","N","FRI",9.546651,28.835442,68.625,18.374482,163,2046,2209,"Y","GOOD",356,2660
358,"2011-12-24","WINTER","2011","DEC","N","SAT",6.2175,26.174228,54.25,12.750368,155,856,1011,"N","GOOD",357,3068
359,"2011-12-25","WINTER","2011","DEC","N","SUN",4.914801,25.518674,68.1304,10.391097,303,451,754,"N","GOOD",358,2209
360,"2011-12-26","WINTER","2011","DEC","Y","MON",7.121733,26.72819,50.6957,16.044155,430,887,1317,"N","GOOD",359,1011
361,"2011-12-27","WINTER","2011","DEC","N","TUE",7.275,27.139522,76.25,12.62615,103,1059,1162,"Y","MISTY",360,754
362,"2011-12-28","WINTER","2011","DEC","N","WED",6.05911,25.519116,50.3913,19.695387,255,2047,2302,"Y","GOOD",361,1317
363,"2011-12-29","WINTER","2011","DEC","N","THU",3.671651,24.972328,57.4167,8.000604,254,2169,2423,"Y","GOOD",362,1162
364,"2011-12-30","WINTER","2011","DEC","N","FRI",6.648349,26.839608,63.6667,9.000579,491,2508,2999,"Y","GOOD",363,2302
365,"2011-12-31","WINTER","2011","DEC","N","SAT",11.27,30.080114,61.5833,14.750318,665,1820,2485,"N","GOOD",364,2423
366,"2012-01-01","WINTER","2012","JAN","N","SUN",9.39,28.771114,69.25,12.875189,686,1608,2294,"N","GOOD",365,2999
367,"2012-01-02","WINTER","2012","JAN","Y","MON",4.833021,24.578336,38.1304,22.087555,244,1707,1951,"N","GOOD",366,2485
368,"2012-01-03","WINTER","2012","JAN","N","TUE",-0.95,20.29335,44.125,24.499957,89,2147,2236,"Y","GOOD",367,2294
369,"2012-01-04","WINTER","2012","JAN","N","WED",-2.9475,20.057458,41.4583,12.3749,95,2273,2368,"Y","MISTY",368,1951
370,"2012-01-05","WINTER","2012","JAN","N","THU",4.494151,25.466008,52.4167,8.709129,140,3132,3272,"Y","GOOD",369,2236
371,"2012-01-06","WINTER","2012","JAN","N","FRI",7.705849,27.569078,54.2083,11.249836,307,3791,4098,"Y","GOOD",370,2368
372,"2012-01-07","WINTER","2012","JAN","N","SAT",10.486651,29.286486,53.1667,11.708786,1070,3451,4521,"N","GOOD",371,3272
373,"2012-01-08","WINTER","2012","JAN","N","SUN",7.8625,27.568772,46.5,12.833314,599,2826,3425,"N","GOOD",372,4098
374,"2012-01-09","WINTER","2012","JAN","N","MON",2.535849,24.414286,70.1667,6.6263,106,2270,2376,"Y","MISTY",373,4521
375,"2012-01-10","WINTER","2012","JAN","N","TUE",6.508712,26.840084,64.6522,12.565984,173,3425,3598,"Y","GOOD",374,3425
376,"2012-01-11","WINTER","2012","JAN","N","WED",4.885849,25.615914,84.75,8.791807,92,2085,2177,"Y","MISTY",375,2376
377,"2012-01-12","WINTER","2012","JAN","N","THU",9.9775,28.985892,80.2917,12.124789,269,3828,4097,"Y","MISTY",376,3598
378,"2012-01-13","WINTER","2012","JAN","N","FRI",4.885849,24.478308,50.75,25.333236,174,3040,3214,"Y","GOOD",377,2177
379,"2012-01-14","WINTER","2012","JAN","N","SAT",0.459999999999999,22.224958,45.75,12.541261,333,2160,2493,"N","GOOD",378,4097
380,"2012-01-15","WINTER","2012","JAN","N","SUN",-0.166651,21.49525,41.9167,16.834286,284,2027,2311,"N","GOOD",379,3214
381,"2012-01-16","WINTER","2012","JAN","Y","MON",0.93,22.482542,52.25,15.500986,217,2081,2298,"N","GOOD",380,2493
382,"2012-01-17","WINTER","2012","JAN","N","TUE",9.533021,28.385452,71.6087,23.39171,127,2808,2935,"Y","MISTY",381,2311
383,"2012-01-18","WINTER","2012","JAN","N","WED",6.256651,25.358636,44.3333,27.833743,109,3267,3376,"Y","GOOD",382,2298
384,"2012-01-19","WINTER","2012","JAN","N","THU",0.93,22.461292,49.75,14.750586,130,3162,3292,"Y","GOOD",383,2935
385,"2012-01-20","WINTER","2012","JAN","N","FRI",2.2225,23.512572,45,13.58425,115,3048,3163,"Y","MISTY",384,3376
386,"2012-01-21","WINTER","2012","JAN","N","SAT",0.146650999999999,21.94575,83.125,14.917014,67,1234,1301,"N","MISTY",385,3292
387,"2012-01-22","WINTER","2012","JAN","N","SUN",-0.3625,21.5165,79.625,13.375746,196,1781,1977,"N","MISTY",386,3163
388,"2012-01-23","WINTER","2012","JAN","N","MON",2.261651,24.263972,91.125,7.417436,145,2287,2432,"Y","MISTY",387,1301
389,"2012-01-24","WINTER","2012","JAN","N","TUE",8.0975,27.869672,83.5833,8.292389,439,3900,4339,"Y","GOOD",388,1977
390,"2012-01-25","WINTER","2012","JAN","N","WED",5.825849,26.023914,64.375,10.791757,467,3803,4270,"Y","GOOD",389,2432
391,"2012-01-26","WINTER","2012","JAN","N","THU",8.058349,28.1057,76.9583,4.9175186,244,3831,4075,"Y","MISTY",390,4339
392,"2012-01-27","WINTER","2012","JAN","N","FRI",11.975,30.123022,74.125,22.958689,269,3187,3456,"Y","MISTY",391,4270
393,"2012-01-28","WINTER","2012","JAN","N","SAT",6.844151,27.096886,54.3333,14.125543,775,3248,4023,"N","GOOD",392,4075
394,"2012-01-29","WINTER","2012","JAN","N","SUN",5.2775,25.272514,31.125,16.08335,558,2685,3243,"N","GOOD",393,3456
395,"2012-01-30","WINTER","2012","JAN","N","MON",4.650849,24.92925,40.0833,14.458064,126,3498,3624,"Y","GOOD",394,4023
396,"2012-01-31","WINTER","2012","JAN","N","TUE",10.33,28.964778,41.6667,17.541739,324,4185,4509,"Y","GOOD",395,3243
397,"2012-02-01","WINTER","2012","FEB","N","WED",14.050849,31.862292,50.7917,12.667489,304,4275,4579,"Y","GOOD",396,3624
398,"2012-02-02","WINTER","2012","FEB","N","THU",10.760849,29.565014,67.2917,12.541529,190,3571,3761,"Y","MISTY",397,4509
399,"2012-02-03","WINTER","2012","FEB","N","FRI",6.726651,26.517764,52.6667,11.959232,310,3841,4151,"Y","GOOD",398,4579
400,"2012-02-04","WINTER","2012","FEB","N","SAT",4.415849,25.27265,77.9583,8.167032,384,2448,2832,"N","MISTY",399,3761
401,"2012-02-05","WINTER","2012","FEB","N","SUN",4.494151,24.993714,68.7917,11.791732,318,2629,2947,"N","MISTY",400,4151
402,"2012-02-06","WINTER","2012","FEB","N","MON",5.282623,26.078484,62.2174,10.3046,206,3578,3784,"Y","GOOD",401,2832
403,"2012-02-07","WINTER","2012","FEB","N","TUE",8.645849,28.277536,49.625,9.874393,199,4176,4375,"Y","GOOD",402,2947
404,"2012-02-08","WINTER","2012","FEB","N","WED",4.063349,25.058314,72.2917,8.959307,109,2693,2802,"Y","MISTY",403,3784
405,"2012-02-09","WINTER","2012","FEB","N","THU",4.455,24.907592,56.2083,13.000479,163,3667,3830,"Y","GOOD",404,4375
